user_id,stage
1,Signup
2,Signup
3,Signup
4,Signup
5,Signup
6,Signup
7,Signup
8,Signup
9,Signup
10,Signup
11,Signup
12,Signup
13,Signup
14,Signup
15,Signup
16,Signup
17,Signup
18,Signup
19,Signup
20,Signup
21,Signup
22,Signup
23,Signup
24,Signup
25,Signup
26,Signup
27,Signup
28,Signup
29,Signup
30,Signup
31,Signup
32,Signup
33,Signup
34,Signup
35,Signup
36,Signup
37,Signup
38,Signup
39,Signup
40,Signup
41,Signup
42,Signup
43,Signup
44,Signup
45,Signup
46,Signup
47,Signup
48,Signup
49,Signup
50,Signup
51,Signup
52,Signup
53,Signup
54,Signup
55,Signup
56,Signup
57,Signup
58,Signup
59,Signup
60,Signup
61,Signup
62,Signup
63,Signup
64,Signup
65,Signup
66,Signup
67,Signup
68,Signup
69,Signup
70,Signup
71,Signup
72,Signup
73,Signup
74,Signup
75,Signup
76,Signup
77,Signup
78,Signup
79,Signup
80,Signup
81,Signup
82,Signup
83,Signup
84,Signup
85,Signup
86,Signup
87,Signup
88,Signup
89,Signup
90,Signup
91,Signup
92,Signup
93,Signup
94,Signup
95,Signup
96,Signup
97,Signup
98,Signup
99,Signup
100,Signup
1,KYC
2,KYC
3,KYC
4,KYC
5,KYC
6,KYC
7,KYC
8,KYC
9,KYC
10,KYC
11,KYC
12,KYC
13,KYC
14,KYC
15,KYC
16,KYC
17,KYC
18,KYC
19,KYC
20,KYC
21,KYC
22,KYC
23,KYC
24,KYC
25,KYC
26,KYC
27,KYC
28,KYC
29,KYC
30,KYC
31,KYC
32,KYC
33,KYC
34,KYC
35,KYC
36,KYC
37,KYC
38,KYC
39,KYC
40,KYC
41,KYC
42,KYC
43,KYC
44,KYC
45,KYC
46,KYC
47,KYC
48,KYC
49,KYC
50,KYC
51,KYC
52,KYC
53,KYC
54,KYC
55,KYC
56,KYC
57,KYC
58,KYC
59,KYC
60,KYC
61,KYC
62,KYC
63,KYC
64,KYC
65,KYC
66,KYC
67,KYC
68,KYC
69,KYC
70,KYC
71,KYC
72,KYC
73,KYC
74,KYC
75,KYC
76,KYC
77,KYC
78,KYC
79,KYC
80,KYC
1,First_Transaction
2,First_Transaction
3,First_Transaction
4,First_Transaction
5,First_Transaction
6,First_Transaction
7,First_Transaction
8,First_Transaction
9,First_Transaction
10,First_Transaction
11,First_Transaction
12,First_Transaction
13,First_Transaction
14,First_Transaction
15,First_Transaction
16,First_Transaction
17,First_Transaction
18,First_Transaction
19,First_Transaction
20,First_Transaction
21,First_Transaction
22,First_Transaction
23,First_Transaction
24,First_Transaction
25,First_Transaction
26,First_Transaction
27,First_Transaction
28,First_Transaction
29,First_Transaction
30,First_Transaction
31,First_Transaction
32,First_Transaction
33,First_Transaction
34,First_Transaction
35,First_Transaction
36,First_Transaction
37,First_Transaction
38,First_Transaction
39,First_Transaction
40,First_Transaction
41,First_Transaction
42,First_Transaction
43,First_Transaction
44,First_Transaction
45,First_Transaction
1,Repeat_Transaction
2,Repeat_Transaction
3,Repeat_Transaction
4,Repeat_Transaction
5,Repeat_Transaction
6,Repeat_Transaction
7,Repeat_Transaction
8,Repeat_Transaction
9,Repeat_Transaction
10,Repeat_Transaction
11,Repeat_Transaction
12,Repeat_Transaction
13,Repeat_Transaction
14,Repeat_Transaction
15,Repeat_Transaction
16,Repeat_Transaction
17,Repeat_Transaction
18,Repeat_Transaction
19,Repeat_Transaction
20,Repeat_Transaction
21,Repeat_Transaction
22,Repeat_Transaction
23,Repeat_Transaction
24,Repeat_Transaction
25,Repeat_Transaction
